instance,n,number of cycles,covered squares,cpu_time (s),solution found
3d1e6726-5e8d-4550-a68a-44743cc7f6e4.singles,5,1,8,0.001313698,True
347c38b3-d3c4-4612-b7ec-9bdebf19d444.singles,5,6,6,0.001435818,True
53c38464-04d0-4313-a1dd-3de2f396262b.singles,5,7,7,0.00155397,True
3d6c0fd1-d0e9-475c-a297-f474752e2f64.singles,5,48,7,0.002411033,True
95a282c5-40e6-4da3-8d72-5d6d9fda3c70.singles,5,17,7,0.001766987,True
909c4ff6-84d5-4015-b3f0-93c9a5e7e2e5.singles,5,15,7,0.001893864,True
828d8771-d116-4f53-af27-0f83aab17d68.singles,5,91,7,0.002529025,True
f2df2f59-aae1-4471-a538-4d2d5e85c1e8.singles,5,100,7,0.003042687,True
48c67b65-e01e-4cca-8a89-33176a02c5fa.singles,5,34,6,0.002145727,True
8340c4e5-2ab8-466f-bc84-b1b2d4e8f3ef.singles,5,2,8,0.001401733,True
eeb48f2f-5c37-450c-80f3-407f97193a19.singles,5,9,6,0.001564067,True
ebe96b46-3b20-4b3f-b42f-1f660b1715ad.singles,5,26,7,0.002033375,True
8a7f165c-d542-4db3-b578-3b081599781f.singles,5,33,7,0.00210533,True
d3ebb06e-b41f-4d71-aca5-d66e107fd0c3.singles,5,35,7,0.001946033,True
dc5d8de6-f424-4246-ba58-3205011c4fe0.singles,5,66,7,0.002567636,True
660cfdc1-5598-4514-8d03-38d48e04dad2.singles,5,9,7,0.001632235,True
ec084520-8033-430c-bf1c-b673ec81bebb.singles,5,24,8,0.00198678,True
d1e3aced-0c37-4d95-9c90-43da28465c44.singles,5,16,7,0.002477357,True
cdac8324-d1a9-4dda-ada7-0ae5ab5f6e3d.singles,5,24,7,0.00224916,True
6943eb18-f846-4706-ba5e-46d996a54800.singles,5,13,7,0.001678481,True
3d0f3174-2009-4fe2-b921-15b356c31d99.singles,5,22,7,0.001957193,True
d6114b2d-a313-4c38-9910-3b22801e12f8.singles,5,19,7,0.001838751,True
739fa0b1-b7f6-4113-86b0-c135054e9937.singles,5,21,8,0.001839333,True
9a039394-5248-4484-b616-8ddc5c98966c.singles,5,19,6,0.001671459,True
c8d57d99-0fa9-42e8-a535-644789bf37b1.singles,5,32,7,0.001980517,True
25603e17-84d0-4200-936c-9f5c3993e1de.singles,5,11,6,0.001591479,True
3ba155a8-7fc4-4d72-adaf-ee56e2689f70.singles,5,7,7,0.001547537,True
2a9afcce-c302-4243-a159-4ab8978dfb78.singles,5,7,6,0.001859091,True
ecac9aaf-e1bf-44e6-9996-661082e19927.singles,5,13,6,0.001879759,True
e24c17de-fcab-4219-94a3-c2e17ef8e314.singles,5,49,8,0.002107285,True
ab6a14a7-4944-42b6-bedd-7802ecf0554b.singles,5,4,8,0.001466705,True
d9bb9464-e838-428c-b9d8-d53c6ac8ea97.singles,5,2,6,0.001300043,True
b179ac63-b057-4cfe-9f5e-a83828ba379e.singles,5,22,8,0.001926756,True
48ea1773-2e36-474f-9941-df77ae3b7ad4.singles,5,23,6,0.001791373,True
39ee17f5-20b6-48c9-a041-3c7d76ce99d7.singles,5,23,7,0.001782467,True
e3d7c280-daf7-44e0-9842-1848fabdebed.singles,5,72,7,0.0026606,True
baf58400-6852-4d0d-af9a-42248c150c28.singles,5,10,6,0.001603652,True
67fbe5f6-3613-43de-8691-4c8ce6d29dd9.singles,5,9,7,0.001771245,True
5a4469d5-0d8e-4328-a7b5-2b71a0ca294d.singles,5,16,7,0.002546225,True
b583d58a-3cc3-4c63-86a7-aca02476ac2e.singles,5,13,7,0.001673191,True
6a6c6c1c-6e51-4ce6-9c59-b4163a720319.singles,5,24,7,0.002073571,True
18ceecfd-174b-4df7-b1c4-01541cd6aa92.singles,5,4,6,0.001443152,True
606e7143-5b87-47f5-91fa-f44351dd7503.singles,5,6,7,0.001470773,True
5298a566-12b5-45af-98ca-5ed258c8fb76.singles,5,4,7,0.001428203,True
ea1a1a93-e288-412f-b657-46d91feb621e.singles,5,2,7,0.001334488,True
166b4332-cf95-423f-8fe8-6f7997c27a64.singles,5,21,7,0.001744195,True
6dea4333-3b62-4b15-a979-66a342c775d1.singles,5,9,6,0.001562204,True
2eae1087-6141-4895-a978-1fb84a35507b.singles,5,43,7,0.002404481,True
92b1f7f0-c289-4d35-a53c-4d28450f5ec9.singles,5,16,7,0.002044337,True
b4d94bc7-cdc9-4cea-b0b4-a52d5308168f.singles,5,8,6,0.001808815,True
0da2858e-702d-4361-aa38-209ae60a61f0.singles,5,94,7,0.002847229,True
31cda50d-b260-44d9-a0cd-51c307977334.singles,5,54,7,0.002234943,True
0d4655f0-f29b-4657-9f47-695d2b5d874b.singles,5,10,8,0.001567614,True
fd1154d8-5c0a-4fac-81f0-55fd4f303fe6.singles,5,9,6,0.001608189,True
9a09fef6-8671-4bb4-ade2-0f36adfc1938.singles,5,21,7,0.001762629,True
cb99e514-e5db-476c-9523-f2c86e9d715f.singles,5,6,6,0.001559659,True
d63389cb-5a44-481f-aebc-c33a5b2aaca0.singles,5,8,7,0.001541305,True
a7c175aa-72c0-4bdb-aaf2-fad087f282fa.singles,5,16,6,0.001743031,True
a3f2d385-5f08-477d-9e02-a9f7d2076105.singles,5,3,6,0.001713587,True
70d5a4af-3eb2-40d6-a706-5f791710e1e0.singles,5,9,8,0.001917829,True
