instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
1a9ac1bf-62a9-4a87-9f39-8e5db756595e.singles,10,20,0.0005506404100000001,0.011844823059999999,0,0.040045003980000014,21,100,877,59,27,0,0,3,3,0
1ad039f0-d621-47d0-b937-13392913f240.singles,10,0.679116052,0.0005200747100000001,0.01163231627,1.442e-06,8.021947999999999e-05,0,100,623,63,30,0,0,4,3,0
1ad84b81-a46d-4e30-9d98-c93006e70d64.singles,10,0.257634223,0.0005393833400000002,0.017009836289999997,1.382e-06,8.094670000000002e-05,0,100,962,61,28,0,0,0,2,0
1bc102f4-159f-4541-8f58-8ca5384a668c.singles,10,20,0.0005587362499999999,2.0642445688800013,0,0.006389691329999998,6,100,165735,65,29,0,0,1,4,0
1c00bd24-2db8-4402-ba26-b1c9cbbc446d.singles,10,20,0.0005134161599999998,0.005986380859999999,0,0.00087609129,1,100,273,58,27,0,0,4,2,0
1c03710b-51fd-42f2-b0e1-d4f4ad4fcf7f.singles,10,20,0.0005387898,0.005376975489999999,0,0.007162723580000001,6,100,262,60,28,0,0,4,3,0
1c327db2-7033-48b5-a0d3-9dbdb2e24792.singles,10,20,0.00052693551,0.021473123340000004,0,8.080829999999998e-05,0,100,1210,66,28,0,0,2,3,0
1c95b92a-3765-435b-ad1a-ca3e7059a8c5.singles,10,20,0.00052890157,0.02186307875,0,0.0008631432899999994,1,100,1439,62,27,0,0,1,2,0
1ceb7eb3-fb2a-4f2a-b89d-3d958616a2f7.singles,10,20,0.00053741544,0.022846951270000006,0,0.00863647141,7,100,1428,61,27,0,0,2,1,0
1d9ef04c-a16e-43c1-b546-2470ad00ed61.singles,10,20,0.0005043499099999999,0.002013882560000001,0,8.125842000000002e-05,0,100,61,61,28,0,0,1,3,0
1dbe3d10-92c6-452a-acb4-8103d88a4ed1.singles,10,20,0.00052653207,0.012547353200000005,0,8.207187000000003e-05,0,100,757,61,29,0,0,1,3,0
1dc5426d-0c8a-4136-8523-fb6859b45acc.singles,10,20,0.0005321730299999997,0.005264210679999999,0,0.0020260095900000007,2,100,210,62,28,0,0,2,4,0
1dca7d40-413f-4c34-8b9e-b7e36461ffbc.singles,10,20,0.0005152545300000002,0.005675857519999999,0,0.00455980491,4,100,231,66,30,0,0,3,3,0
1e144b26-7917-4edf-a915-079230fca1bc.singles,10,20,0.0005379942200000002,0.037319433850000014,0,0.0008934090899999998,1,100,3097,62,29,0,0,2,2,1
1e3e6ce3-c719-4c69-87f8-a62c90da0624.singles,10,20,0.00054459792,0.015228252429999993,0,0.06256694629000004,23,100,960,62,29,0,0,3,2,0
1e7bf0ad-e623-4986-ab5e-c18477451e3a.singles,10,20,0.0005650903200000003,0.00435353846,0,1.1403416300899998,111,100,212,60,29,0,0,2,3,0
1e935ca6-bb3a-4396-a500-a981176d46f3.singles,10,20,0.0005341914799999998,0.0034681772799999996,0,0.011399001859999997,9,100,128,62,30,0,0,0,2,0
1e93a2c8-f500-4bf6-a1cc-9b203386336c.singles,10,20,0.00054603378,0.08282430474999998,0,0.01509282767,11,100,6561,68,30,0,0,1,1,0
1e99569a-64ea-458c-8ca6-a31aeb0b9863.singles,10,20,0.0005365415599999996,0.05012900098000002,0,0.0011715063599999995,1,100,3266,63,28,0,0,2,5,0
1ef147dc-ef0b-4a6d-8519-0d1b26e9a7c6.singles,10,20,0.00054014074,0.015686477610000003,0,0.01188175312,9,100,1180,61,28,0,0,0,1,0
1f58ed1e-64c2-43e2-97f2-a59aeab06eb8.singles,10,20,0.00051409801,0.0038074844700000006,0,0.00298060539,3,100,142,62,28,0,0,0,5,0
1fcb347a-0756-4401-abaa-075df48154a0.singles,10,20,0.0005244239799999999,0.006761180130000001,0,0.00848427962,7,100,348,60,28,0,0,3,3,0
1feb6849-c1b7-48d7-9223-93c613292969.singles,10,20,0.0005548095500000003,0.03685558572,0,0.0009147599099999996,1,100,3007,56,29,0,0,6,5,0
1ffe4502-910f-4310-9479-c07a0e1d8525.singles,10,20,0.00052801286,0.010517831710000002,0,0.004095881430000001,4,100,570,65,29,0,0,2,3,1
20048c1d-2d44-4503-811e-6166e92ab95c.singles,10,20,0.0005287132999999998,0.00693922191,0,7.942551000000001e-05,0,100,308,64,29,0,0,3,3,0
2017fc33-ba35-4d7c-9f14-deb5c29c1ea0.singles,10,20,0.0005129608600000002,0.00487737855,0,0.0009020866800000002,1,100,178,62,29,0,0,3,2,0
20d5e78e-e34d-479f-b838-fa57342beaa7.singles,10,20,0.0005201572699999998,0.003324329070000001,0,8.051909999999997e-05,0,100,128,58,29,0,0,4,2,0
21164f39-848c-4d2a-b2ad-a24c92141699.singles,10,20,0.00054617845,0.007283517479999997,0,0.00827051415,6,100,308,66,30,0,0,0,5,0
2151b4e8-4c29-4de1-93de-eeae443ad6a8.singles,10,20,0.00052864545,0.025733670019999995,0,0.00092626621,1,100,1691,63,29,0,0,2,4,0
218d5906-c827-47c2-b322-8fea0da55a44.singles,10,20,0.00054683408,0.08772337896999999,0,0.002338811819999999,2,100,6187,63,28,0,0,1,2,0
21cee532-8b6e-4719-abaa-82dcd911f634.singles,10,9.610839723,0.0005258674399999999,0.004022989970000001,1.814e-06,0.0016109971900000008,2,100,166,64,29,0,0,4,7,0
22135950-fc35-4ff1-b4eb-6f4ed5bf0789.singles,10,20,0.000547482,0.14718768657000003,0,0.1652404932,43,100,11395,63,28,0,0,3,2,0
2214080d-8652-4301-a625-82d56d0f6e14.singles,10,20,0.0005649657899999998,0.017643000519999997,0,0.0009415591299999997,1,100,1017,64,30,0,0,0,3,0
22482293-28e0-4734-8188-b7a8af96fa53.singles,10,20,0.0005421588600000001,0.7631915563899999,0,0.0012044154999999996,1,100,54012,64,30,0,0,1,3,0
232080cf-5940-4c32-8965-2798e222d126.singles,10,0.083553819,0.0005361841099999998,0.03384058611,1.683e-06,8.390663000000001e-05,0,100,2264,63,29,0,0,2,3,0
23368336-3b17-4543-b254-14aec38aabca.singles,10,20,0.00051740412,0.006941707689999998,0,0.0030545617399999996,3,100,420,59,27,0,0,2,2,0
23544715-b88d-4707-87b1-bf2cc768db47.singles,10,20,0.00053026458,0.017220050310000002,0,0.00807382653,7,100,1341,64,30,0,0,2,2,0
2368415a-8e72-413b-96bb-d981527fbc92.singles,10,20,0.0005454264299999999,0.10082129750999998,0,0.0018788623099999997,2,100,7693,66,28,0,0,2,4,0
23d6f19d-95fd-489b-a3bf-d8ea0099de0a.singles,10,20,0.0005447347900000002,0.013678597369999998,0,0.0031585843200000008,3,100,1054,56,26,0,0,1,4,0
240ee04b-489c-48c4-83e8-119074204ec2.singles,10,20,0.0005240017900000001,0.00462302644,0,8.136824000000001e-05,0,100,230,65,28,0,0,0,3,0
