instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
6863d731-568a-4e8e-90d4-9e94cd2b81df.singles,5,0.001370578,0.00020137656000000003,0.0004825424699999999,1.403e-06,2.8407419999999993e-05,0,100,6,13,6,0,0,0,1,0
68a03510-bedc-4ee8-989a-0e59e6df3c1b.singles,5,0.001311961,0.00019349662000000008,0.0004124054600000001,1.322e-06,2.5127460000000014e-05,0,100,6,15,7,0,0,0,1,0
68a91f6e-c0ee-4899-8c32-e4f5b30f4129.singles,5,0.001344448,0.00018097637,0.0018018616799999995,1.372e-06,2.515336e-05,0,100,123,18,6,0,0,0,1,0
68fdbc09-5adb-4b7c-9e57-60495d14fc21.singles,5,0.001801645,0.00018077565999999993,0.00061417067,1.293e-06,0.00042379653000000026,1,100,17,14,6,0,0,0,1,0
692d6134-b971-4982-917e-8b54fd3a6dd2.singles,5,0.001344452,0.0001803045700000001,0.00062335675,1.503e-06,2.4629599999999992e-05,0,100,13,16,7,0,0,0,2,0
69333ed7-b153-4e1d-9636-1fffee0aa6e8.singles,5,0.002079842,0.00018169792000000004,0.0003830255300000002,1.342e-06,0.0006705945899999999,2,100,5,14,6,0,0,1,1,0
6943eb18-f846-4706-ba5e-46d996a54800.singles,5,0.002551077,0.0001845963,0.00057268973,1.413e-06,0.0010701430399999998,2,100,13,15,7,0,0,0,1,0
69f3a124-87cf-4dc8-97b0-2fd7eb085e0a.singles,5,0.00132278,0.00018142113999999998,0.0008376882200000002,1.472e-06,2.5227990000000013e-05,0,100,26,16,6,0,0,0,3,0
6a1ac12b-bbee-4262-8d38-b88f339a59e0.singles,5,0.001345841,0.00019303929999999996,0.00054802839,1.342e-06,2.4996970000000003e-05,0,100,12,16,6,0,0,0,1,0
6a6afe29-f518-44fc-ad6c-11a6c1ec8ed0.singles,5,0.001599851,0.00019564126999999998,0.00050842612,1.753e-06,2.6464840000000007e-05,0,100,12,14,7,0,0,0,2,0
