instance,n,number of cycles,covered squares,cpu_time (s),solution found
2f681707-26a1-4b35-b93a-bcffa8c57e01.singles,10,857,28,0.014280104,True
2f6e57dd-7904-4f81-a0fe-a6ff1b1f12b7.singles,10,501,30,0.012566287,True
2f7fd170-e709-4273-a2cb-38d4d4c221f7.singles,10,259,28,0.007970929,True
2fbd0db9-4957-4921-865c-70436b71b3d8.singles,10,4547,27,0.062987239,True
2fcf9475-1e08-4f74-8de9-495ec215a360.singles,10,111,29,0.005533619,True
301b04a0-f97d-4664-9a67-7fd5043987b7.singles,10,177,30,0.006039276,True
303e9998-8b85-4eba-840d-96c4066a9dd4.singles,10,929,28,0.019580549,True
307f0683-0660-446f-aaa0-9791d9de1da6.singles,10,2312,28,0.035968376,True
3089ee1c-a290-4344-8faf-66ef6d3e52da.singles,10,2339,29,0.03937669,True
309ec2d3-7575-4277-9d9f-e31e71ce9a5e.singles,10,189,28,0.007077202,True
316a49fd-80bc-4521-945d-b632ea23c2a7.singles,10,363,28,0.009563215,True
31b9b9d7-8637-47e6-8b73-77a2ebb256d8.singles,10,9482,27,0.135208082,True
31f6b693-3c30-430e-b9ee-8fce9f36f0e1.singles,10,647,27,0.017625367,True
32711b3c-1b21-4099-84c4-69a98fa423ce.singles,10,1112,28,0.021807255,True
32c343d9-d05e-465e-9831-4d319f68e7e9.singles,10,223,28,0.007549519,True
32d672c9-7e04-4b2c-be87-a6cc9413fe07.singles,10,500,28,0.011401932,True
32db61a6-7cd7-41d9-9907-ce149de30ffd.singles,10,3936,29,0.060560692,True
33a5dda2-30a2-4faf-90df-f5dc3281f614.singles,10,506,29,0.010967427,True
34409973-8c49-4a37-b11e-bcf93f01d119.singles,10,1623,29,0.033454002,True
34d0d5a9-d743-4414-a5b9-c89761738bc1.singles,10,3141,30,0.04890056,True
34e88da9-3036-489e-abb4-14e8324d5c7a.singles,10,3674,29,0.058939857,True
356a262f-096f-4e9c-be27-d808c96feaa3.singles,10,420,29,0.010031722,True
35890dfa-b8ea-4d86-9dc7-e9ce15bb3722.singles,10,908,30,0.021775118,True
35acdbf6-98f9-43e2-b061-042307dc5c7d.singles,10,387,29,0.012615548,True
35e45772-98fd-436f-8a7b-a170754e5cfc.singles,10,836,29,0.017483662,True
363bae4f-6995-4c51-aeba-203e320d060f.singles,10,20255,28,0.279174314,True
363fb4e9-cfe2-42cb-9bb5-dfe97789fd4c.singles,10,4708,29,0.071842588,True
367c1ce5-3bdf-4ef2-adb9-fb2e2fe97951.singles,10,75,30,0.006283083,True
36870200-1a03-4510-aafe-d6569cbef34c.singles,10,760,28,0.016402945,True
36f9fc61-4d94-48b1-b75a-6ebbef64a2f1.singles,10,260057,29,3.670558862,True
36fe398e-5038-4e25-be6e-5a15c55b76fa.singles,10,1587,29,0.027301442,True
37115cf5-a03a-400f-a0e5-258de2e37400.singles,10,1907,29,0.037946858,True
37560aa0-cd75-4e38-9dbb-9372dc3045be.singles,10,375,29,0.01095031,True
3782ac38-65ce-4b4a-b7fa-8f6df6862697.singles,10,97,29,0.006258876,True
378f2349-1ae7-4854-8f4f-f19f89f5d7ab.singles,10,1266,29,0.020924754,True
37bf851d-231a-4e8f-a7a8-778aad10fdb2.singles,10,835,29,0.015746893,True
38043cf5-91c2-4db2-b827-ea1b98acb015.singles,10,5775,30,0.091934127,True
381a3189-a3fd-4d9e-b35e-0df8bf125372.singles,10,811,27,0.017024353,True
38211caa-d48b-4c7d-a88d-659539b6c701.singles,10,249,29,0.008684156,True
38a170bf-3397-4a74-a65c-f98d4a6e7438.singles,10,19834,31,0.290154143,True
38a7e063-9fe0-42c8-962e-fc9f65325fe0.singles,10,793,30,0.019381735,True
38acaecf-2ddb-4bbe-8acb-9b99e9680287.singles,10,512,27,0.013569873,True
38e3d35a-1f56-4d7a-9fcf-773d0a7bdda2.singles,10,954,29,0.018993801,True
38f94390-929b-459a-b562-847d534e3440.singles,10,498,28,0.012709789,True
3918459f-a391-46b3-bd48-8172c3401626.singles,10,705,28,0.014017661,True
3939a982-74d0-483e-a9dd-a01b5d13bdef.singles,10,4617,28,0.068562983,True
39c7905a-91a2-47df-8459-6c0bec5c97c8.singles,10,736,28,0.017847834,True
3a39545e-7eec-4fd2-9b94-d84847ce0a4e.singles,10,8481,29,0.134164742,True
3ade6a4a-a32c-4151-be20-19208897917e.singles,10,32027,30,0.515467836,True
3ae4d51d-5d74-4f78-a376-b9224d89106f.singles,10,8334,29,0.115761719,True
3af2eb79-d54d-4eed-aa8a-f6e14310abe0.singles,10,2099,30,0.039082559,True
3b5a0fb4-2279-46e2-8b98-4c177bb2871d.singles,10,777,29,0.01802281,True
3b8e0950-57ee-4f94-b356-0da08c1015d6.singles,10,1960,29,0.034136697,True
3b947ba3-e1c0-4618-9eef-26953577d730.singles,10,2380,29,0.043104429,True
3bb17325-3e20-45a9-86cc-42662a632486.singles,10,51335,29,0.712315501,True
3bc41029-8c9a-4335-8a1e-e09d9d5b6ee2.singles,10,190,29,0.007748712,True
3be30c22-f817-45e9-aeae-e6b664350baf.singles,10,2114,29,0.031275361,True
3c204472-e139-48be-a2ea-5aa592b58d7d.singles,10,15303,28,0.213193272,True
3c317a30-729c-4c52-ad09-f88074853e87.singles,10,27,27,0.004001676,True
3ca44c08-022e-4e2f-a22c-90c8d0b0b26a.singles,10,4357,30,0.062847127,True
3cdc9247-9b3b-4864-b77d-09dfb2ef0004.singles,10,238,28,0.008544817,True
3ce47e12-1c00-4591-ace7-c2d23f7c1b5c.singles,10,196,30,0.007227794,True
3d0a2786-33a8-4e2e-bba5-6aa207f9311b.singles,10,429,30,0.011158787,True
3d6ad5a0-7a11-4ca5-a03f-b8f99fd20f9a.singles,10,606,29,0.015761156,True
3d7c0239-8c9b-40a1-9ef4-45cefafdd8c3.singles,10,3251,28,0.053235169,True
3d891d66-a645-4993-98b4-260084523392.singles,10,9573,29,0.149563073,True
3dcf3652-0ca7-4f7c-b02a-2160b430b89e.singles,10,548,29,0.011342994,True
3dde8fa3-87fa-452f-9e8e-64c23d178c07.singles,10,600,29,0.016275164,True
3dede625-a7bd-498d-a9e0-b6a5f447cd2f.singles,10,9454,29,0.135137381,True
3e084292-c57b-4cee-a692-0527313e956c.singles,10,93,28,0.005573232,True
