instance,n,number of cycles,covered squares,cpu_time (s),solution found
2ca6acc9-e629-460f-b1d8-794f847ebe3e.singles,10,3307,29,0.011880626,True
2cf185bb-456a-49ee-a1fb-7cab447953ec.singles,10,1025,28,0.004417741,True
2d0b8f05-f52f-46f3-b5ae-ea1453ac86f8.singles,10,51,30,0.003400752,True
2d54e146-a980-4468-991a-f229090185a6.singles,10,21070,29,0.004588021,True
2d8ff86d-50fa-4a5e-925f-d5f83f79c859.singles,10,688,29,0.003376868,True
2dae8ec4-9e19-417a-babf-066a093c6844.singles,10,1062,28,0.003444516,True
2dd456a2-475a-4120-ac6d-8b6a3e5d1714.singles,10,3938,29,0.004372715,True
2debcd01-4539-4531-98d4-68247bbe9250.singles,10,5787,29,5.815566915,True
2e03e7ef-ee93-4f4e-8c5f-9dc12c25567a.singles,10,2090,28,0.003603022,True
2e1f9489-4d61-42ad-a3ad-4ec459d459b0.singles,10,26875,29,0.005092535,True
2e3f9be5-8474-4554-8533-a8478878ff06.singles,10,991,30,0.003479129,True
2e95f61d-8c64-4ccd-a0e9-992e18db2b45.singles,10,1395,28,0.003457206,True
2ed31391-3f16-44e6-bf9c-62ab99a03c23.singles,10,61,27,0.005337425,True
2edf2bb7-d52b-4c4e-aba5-1e321948895f.singles,10,2154,29,0.012353632,True
2f267297-2f64-46bb-925b-ce3b41a9366b.singles,10,1038,29,0.004371584,True
2f3781ba-bb4c-4bd4-b79f-233984d2ca1d.singles,10,158,29,0.003386866,True
2f877a6a-ea30-4710-bdbb-24cba0ff6696.singles,10,134,26,0.397198394,True
2ff4e567-3567-408f-a0d2-663b2587941a.singles,10,206,29,20,False
3041641b-3dc1-4379-90d8-98494bc85332.singles,10,685,28,0.003642314,True
304aeb53-b388-409d-85bf-a61d5663bf59.singles,10,885,30,0.003390131,True
3079b68b-a746-4b22-a955-dfe7fab73f43.singles,10,3390,29,0.014742724,True
30ba4e57-4df4-4c9d-89d7-351bf9814ec3.singles,10,15206,30,0.004379179,True
30e7e8c5-f18a-4758-a22a-6e42ca465a7a.singles,10,476,29,0.003526119,True
30ec3df4-ee61-4adb-8b5a-6f6e86228cb7.singles,10,762,27,0.003470001,True
31b56da1-3f67-4961-904f-4b8e72df0210.singles,10,8453,28,0.010401527,True
31f5f844-333c-47e3-9d24-b3dc5e3c5eff.singles,10,1251,29,0.004152262,True
31fd041e-08ad-4a71-b113-f3f3dcce22da.singles,10,9309,27,0.003490581,True
3209e2f3-d687-4006-8474-bd67de437cab.singles,10,801,31,0.00785449,True
329cecb9-b1dd-4b82-bbf8-ed031b82a0b6.singles,10,1495,29,0.021448159,True
32a06f11-7d00-4eec-9779-be0ec4b8250b.singles,10,122,29,0.003463939,True
