instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
115679fb-2d0f-4d32-ac21-dbf546033394.singles,10,0.005177921,0.000553273,0.003947901,3.576e-06,194,57,29,0,0,2,3,0
11d72d2b-8b91-4e68-983d-e460d9453f71.singles,10,0.003250574,0.000504852,0.014997998,1.282e-06,1038,67,29,0,0,1,2,0
11ea1d1c-2f31-4087-8bcb-c01746dba0ef.singles,10,0.005045742,0.000550387,0.029817428,1.953e-06,2090,64,30,0,0,1,4,0
120866e5-a0dd-474d-a6b5-2bba6a553d3e.singles,10,0.005872665,0.000547011,0.034233352,1.703e-06,2356,67,29,0,0,1,4,0
12132076-eed4-45ee-835c-b4b6c736635b.singles,10,0.005337476,0.000557149,0.00947606,6.542e-06,609,65,31,0,0,2,3,0
123c8361-d18a-4023-a5cb-adab050f88c1.singles,10,0.008622966,0.00050892,0.008595094,3.206e-06,612,60,27,0,0,2,4,0
127683b5-10c1-4d7a-8b6b-71c065fd4a11.singles,10,0.005594366,0.000512967,0.002786782,2.194e-06,91,61,29,0,0,0,2,0
12b5bcce-5e01-481f-bafc-220147bf9fd7.singles,10,0.00544187,0.000627774,0.018307868,1.633e-06,1424,66,29,0,0,3,2,0
1308b921-e191-4fc5-ba84-84f046e12cf4.singles,10,0.007161259,0.000653112,0.020274646,1.663e-06,1430,64,30,0,0,3,3,0
130f4d9d-bc77-4a62-a327-10cb9beeb121.singles,10,0.00740922,0.000523005,0.004803293,1.443e-06,223,59,27,0,0,3,3,0
13799616-ea9d-4ae9-8d04-8f9ae74e6c66.singles,10,0.003489018,0.000494693,0.005523741,1.843e-06,255,64,30,0,0,1,3,0
13abbdac-40e2-4e1c-9e8e-a8be793b4590.singles,10,0.005428166,0.000509731,0.004033814,1.934e-06,200,63,28,0,0,0,3,0
13f73d5d-c015-492a-b3e8-1549cb4a8d3e.singles,10,0.0033979,0.000500984,0.195832067,1.653e-06,16541,66,31,0,0,2,2,0
143237d2-1b02-4239-9523-7271d81a3266.singles,10,0.012128694,0.000560095,0.011214315,1.442e-06,572,65,28,0,0,2,3,0
144298d5-a505-41b0-8e73-47a0f23cb9cc.singles,10,0.003353425,0.000552882,0.009131853,1.583e-06,680,61,29,0,0,3,4,0
