instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),time illegal solutions (s),iterations,number_of_runs_for_time_data,number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
ee35755e-2022-4567-9ec8-3c3f2eb6a7b7.singles,6,0.04587742,0.00023508790000000004,0.0009937103700000001,2.434e-06,0.0004696623800000002,1,100,27,22,10,0,0,2,2,0
ee6bd955-532f-4bab-90ac-1d0d7421e8d9.singles,6,0.040437043,0.00023243841,0.00120143345,2.044e-06,3.276118e-05,0,100,48,22,11,0,0,0,2,0
eef1da38-6795-43d9-a622-2f3862c3ab29.singles,6,0.039393648,0.00023733053,0.0015766847700000002,1.804e-06,0.00043407318000000003,1,100,88,23,11,0,0,2,2,0
ef1028cb-a2cc-48ac-963a-fee26e755def.singles,6,0.041204577,0.0002370746499999999,0.00100282671,2.014e-06,3.647527000000001e-05,0,100,28,22,9,0,0,1,3,0
ef4c8008-9c1e-4a5b-b81f-1f5c400d27fb.singles,6,0.038532576,0.00023798125,0.00140692969,3.817e-06,3.306188e-05,0,100,54,24,11,0,0,1,4,0
ef53ae8c-5fbc-4035-b524-bd587d90eab6.singles,6,0.041270455,0.0002360658999999999,0.0006147344,2.124e-06,3.350281999999999e-05,0,100,11,18,10,0,0,0,0,1
ef67115d-4c8d-4a29-8ccb-4d5f3337b72f.singles,6,0.040225311,0.00023644085000000005,0.00155133371,3.236e-06,3.2394240000000005e-05,0,100,66,25,10,0,0,1,1,0
ef911dfa-aefa-44cd-b176-229055bd461b.singles,6,0.043845426,0.00023453656999999995,0.0003562131799999999,2.585e-06,0.0003855456899999998,1,100,3,20,9,0,0,0,0,0
efaf5e39-80cc-40ac-909a-25217d772795.singles,6,0.040641936,0.00024410018000000017,0.0011596775300000003,4.789e-06,0.0004757024500000001,1,100,31,26,11,0,0,0,1,0
efc1f6d8-0edc-406c-a98f-9e37f6385713.singles,6,0.041034494,0.00025021766,0.0019587845600000002,2.755e-06,3.286497e-05,0,100,100,25,11,0,0,0,3,0
f054cb59-d1ae-4175-8e20-7042c4a98918.singles,6,0.04851252,0.00023550714999999998,0.00056889913,2.485e-06,0.0008595344200000001,2,100,10,19,10,0,0,0,0,1
f081946f-cd3e-437d-b702-7979ba307e04.singles,6,0.045956469,0.00024592059999999994,0.0008084613300000001,1.923e-06,3.311798000000001e-05,0,100,17,22,10,0,0,1,1,0
f0ae1230-e66e-4cf9-9a63-fb18273c0cf3.singles,6,0.040327853,0.00023654489,0.0006372412199999996,2.064e-06,0.00035210176999999997,1,100,11,20,9,0,0,0,1,1
f0c0c709-8502-4e0c-8ab9-c3e5a9f28f70.singles,6,0.038657738,0.00023510999999999996,0.0008609509899999998,1.754e-06,3.301444e-05,0,100,20,22,10,0,0,1,1,0
f0d5b28f-617c-4fe9-94bb-a18b956e37d9.singles,6,0.059102235,0.00023426867999999993,0.002445222229999999,2.885e-06,3.24701e-05,0,100,160,24,10,0,0,0,1,0
f10425b3-98b4-47ae-b378-714d8dd0186a.singles,6,0.043243959,0.00023520430000000005,0.0004784119599999999,2.695e-06,0.00040824445000000014,1,100,7,19,9,0,0,0,0,0
f1720192-9a29-4ba4-9d68-dd6ddb6443e4.singles,6,0.040846,0.0002322707400000001,0.0009540832399999999,1.784e-06,3.300792000000001e-05,0,100,29,20,9,0,0,0,1,0
f1831842-28d7-4075-a1da-9d74189cb729.singles,6,0.052037632,0.00023283229999999998,0.002013530539999999,4.458e-06,3.318803e-05,0,100,104,24,10,0,0,0,2,0
f1adecbf-0fc5-445f-a358-ee04b5abec39.singles,6,0.047097645,0.00023596345000000008,0.00101872981,2.054e-06,3.373087000000001e-05,0,100,23,21,9,0,0,2,1,0
